Specification,Keyword,RGB hex value
CSS Color Module Level 3,papayawhip,#ffefd5
CSS Color Module Level 3,peachpuff,#ffdab9
CSS Color Module Level 3,peru,#cd853f
CSS Color Module Level 3,pink,#ffc0cb
CSS Color Module Level 3,plum,#dda0dd
CSS Color Module Level 3,powderblue,#b0e0e6
CSS Color Module Level 3,rosybrown,#bc8f8f
CSS Color Module Level 3,royalblue,#4169e1
CSS Color Module Level 3,saddlebrown,#8b4513
CSS Color Module Level 3,salmon,#fa8072
CSS Color Module Level 3,sandybrown,#f4a460
CSS Color Module Level 3,seagreen,#2e8b57
CSS Color Module Level 3,seashell,#fff5ee
CSS Color Module Level 3,sienna,#a0522d
CSS Color Module Level 3,skyblue,#87ceeb
CSS Color Module Level 3,slateblue,#6a5acd
CSS Color Module Level 3,slategray,#708090
CSS Color Module Level 3,slategrey,#708090
CSS Color Module Level 3,snow,#fffafa
CSS Color Module Level 3,springgreen,#00ff7f
CSS Color Module Level 3,steelblue,#4682b4
CSS Color Module Level 3,tan,#d2b48c
CSS Color Module Level 3,thistle,#d8bfd8
CSS Color Module Level 3,tomato,#ff6347
CSS Color Module Level 3,turquoise,#40e0d0
CSS Color Module Level 3,violet,#ee82ee
CSS Color Module Level 3,wheat,#f5deb3
CSS Color Module Level 3,whitesmoke,#f5f5f5
CSS Color Module Level 3,yellowgreen,#9acd32
CSS Color Module Level 4,rebeccapurple,#663399
